spec,carp_col,spor_col,comment
Amanita sp-54 Tulloss & Rodrig. Cayc.,,,
Amanita sp-57,,,
Amanita sp-59 Tulloss and Kudzma nom. prov.,,,
Amanita sp-amerirubescens01 Tulloss & K.W. Hughes cryptonom. temp.,,,
Amanita sp-amerirubescens02 Tulloss cryptonom. temp.,,,
Amanita sp-amerirubescens04,,,
Amanita sp-amerirubescens05,,,
Amanita sp-amerirubescens07,,,
Amanita sp-AR01 Tulloss crypt. temp.,,,
Amanita sp-AUS04,,,
Amanita sp-AUS08 Tulloss & Kudzma cryptonom. temp.,,,
Amanita sp-AUS10 Tulloss & Kudzma cryptonom. temp.,,,
Amanita sp-AUS11 Tulloss & Kudzma cryptonom. temp.,,,
Amanita sp-AUS12 Tulloss & Kudzma cryptonom. temp.,,,
Amanita sp-AUS13 Tulloss & Kudzma cryptonom. temp.,,,
Amanita sp-AUS14,,,
Amanita sp-AZ07,,,
Amanita sp-AZ13,,,
Amanita sp-bisporigera05,,,
Amanita sp-C18,,,
Amanita sp-C22,,,
Amanita sp-F11 Tulloss,,,
Amanita sp-GSM04,,,
Amanita sp-GSM05 Tulloss Kudzma & K.W. Hughes cryptonom. temp.,,,
Amanita sp-GSM07 Tulloss,,,
Amanita sp-HON09 Tulloss cryptonom. temp.,,,
Amanita sp-lavendula01,,,
Amanita sp-lavendula03,,,
Amanita sp-LG1045,,,
Amanita sp-M20 Tulloss nom. prov.,,,
Amanita sp-M36,,,
Amanita sp-MO01 Tulloss nom. prov.,,,
Amanita sp-MO02,,,
Amanita sp-MO03,,,
Amanita sp-MO04,,,
Amanita sp-MO06 Tulloss & Kudzma cryptonom. temp.,,,
Amanita sp-N17,,,
Amanita sp-N24 Tulloss cryptonom. temp.,,,
Amanita sp-N40 Tulloss cryptonom. temp.,,,
Amanita sp-N51 Tulloss,,,
Amanita sp-N60,,,
Amanita sp-N63,,,
Amanita sp-O02 Tulloss,,,
Amanita sp-ONT03 Tulloss,,,
Amanita sp-OR01 Tulloss nom. prov.,,,
Amanita sp-OR02,,,
Amanita sp-QUE04,,,
Amanita sp-S01 Tulloss cryptonom. temp.,,,
Amanita sp-S04 Tulloss cryptonom. temp.,,,
Amanita sp-S10,,,
Amanita sp-T06,,,
Amanita sp-T31,,,
Amanita sp-T32 Tulloss cryptonom. temp.,,,
Amanita sp-T36 Tulloss nom. prov.,,,
Amanita sp-T45 Tulloss nom. prov.,,,
Amanita sp-T47,,,
Amanita sp-V01 Tulloss cryptonom. temp.,,,
Amanita sp-V02 Tulloss cryptonom. temp.,,,
Amanita sp-V03 Tulloss cryptonom. temp.,,,
Amanita sp-W15 Tulloss cryptonom. temp.,,,
Amanita sp-WA03 Tulloss nom. prov.,,,
Amanita sp-WI01 Tulloss nom. prov.,,,
Amanita spissacea S. Imai,,,
Amanita sponsus Tulloss et al. nom. prov.,white,,
Amanita spreta (Peck) Sacc.,,,
Amanita spreta group,,,
Amanita stannea nom. prov.,,,
Amanita stenospora,,,
Amanita stirps Bulbosa,,,
Amanita stirps Crocea,,,
Amanita stirps Daucipes,,,
Amanita stirps Grossa,,,
Amanita stirps Muscaria,,,
Amanita stirps Solitaria,,,
