"specname","latitude","longitude","carp_color","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","t_texture","drainage","awc_class","t_gravel","t_sand","t_silt","t_clay","t_usda_tex_class","t_ref_bulk_density","t_bulk_density","t_oc","t_ph_h2o","t_cec_clay","t_cec_soil","t_bs","t_teb","t_caco3","t_caso4","t_esp","t_ece","s_gravel","s_sand","s_silt","s_clay","s_usda_tex_class","s_ref_bulk_density","s_bulk_density","s_oc","s_ph_h2o","s_cec_clay","s_cec_soil","s_bs","s_teb","s_caco3","s_esp","s_ece","FOR_2000","GRS_2000","NVG_2000","sq1","sq2","sq3","sq4","sq5","sq6","sq7","URB_2000","WAT_2000"
"2906","Amanita brunnescens G.F. Atk.",41.95735,-74.68795,"brown",58,111,30,9014,241,-127,368,149,-52,170,-63,1252,125,81,12,351,262,337,268,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,90.7840423583984,8.92975807189941,0,2,2,1,1,1,1,1,0.222622975707054,0
"3024","Amanita brunnescens G.F. Atk.",37.83005,-90.2301,"brown",125,131,33,9035,316,-71,387,125,3,238,3,1088,115,59,18,323,213,285,213,2,4,1,4,47,32,21,9,1.41,1.42,0.82,6.2,35,11,88,8.3,0,0,1,0.1,5,40,29,31,5,1.34,1.5,0.39,6.2,33,12,87,9.6,0,1,0.1,57.6301231384277,5.84680080413818,0,1,1,1,1,1,1,1,0.306100010871887,0
"3046","Amanita brunnescens G.F. Atk.",42.8341,-80.1493,"brown",80,94,26,9231,263,-90,353,153,-34,195,-41,942,90,62,11,248,209,240,219,3,4,1,4,56,22,22,10,1.42,1.34,1.11,6.4,36,22,87,18.4,0,0,1,0.1,8,48,20,32,10,1.35,1.38,0.54,6.7,37,21,92,21,0,1,0.1,12.6167268753052,7.28460597991943,0,1,1,1,1,1,1,1,2.07469987869263,1.97339987754822
"3047","Amanita brunnescens G.F. Atk.",42.8341,-80.1493,"brown",80,94,26,9231,263,-90,353,153,-34,195,-41,942,90,62,11,248,209,240,219,3,4,1,4,56,22,22,10,1.42,1.34,1.11,6.4,36,22,87,18.4,0,0,1,0.1,8,48,20,32,10,1.35,1.38,0.54,6.7,37,21,92,21,0,1,0.1,12.6167268753052,7.28460597991943,0,1,1,1,1,1,1,1,2.07469987869263,1.97339987754822
"3065","Amanita brunnescens G.F. Atk.",42.78625,-80.198,"brown",82,93,26,9173,263,-87,350,155,-31,196,-39,950,91,63,11,249,212,240,222,3,4,1,4,56,22,22,10,1.42,1.34,1.11,6.4,36,22,87,18.4,0,0,1,0.1,8,48,20,32,10,1.35,1.38,0.54,6.7,37,21,92,21,0,1,0.1,8.81078243255615,4.68933868408203,0,1,1,1,1,1,1,1,1.28979992866516,37.9752998352051
"3107","Amanita brunnescens G.F. Atk.",35.8725,-78.761,"brown",151,127,38,7573,316,-18,334,247,105,247,51,1130,116,76,13,324,244,324,273,2,4,1,10,49,27,24,10,1.4,1.4,1,4.6,16,7,44,3.5,0,0,1,0.1,10,40,24,36,5,1.32,1.4,0.42,4.8,14,6,32,2.3,0,2,0.1,76.2622146606445,12.1785907745361,0,3,2,1,1,1,1,1,2.09369993209839,0
"3108","Amanita brunnescens G.F. Atk.",42.82125,-80.14945,"brown",80,93,26,9205,263,-89,352,153,-33,196,-40,949,91,63,11,250,211,241,222,3,4,1,4,56,22,22,10,1.42,1.34,1.11,6.4,36,22,87,18.4,0,0,1,0.1,8,48,20,32,10,1.35,1.38,0.54,6.7,37,21,92,21,0,1,0.1,3.277423620224,1.8922483921051,0,1,1,1,1,1,1,1,12.2870006561279,58.7079963684082
"3119","Amanita brunnescens G.F. Atk.",41.2388,-76.1,"brown",87,115,31,8859,274,-91,365,177,-20,197,-31,1012,106,60,18,310,192,302,192,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,89.4135437011719,8.79495620727539,0,2,2,1,1,1,1,1,1.70323705673218,0
"3242","Amanita brunnescens G.F. Atk.",42.82125,-80.14945,"brown",80,93,26,9205,263,-89,352,153,-33,196,-40,949,91,63,11,250,211,241,222,3,4,1,4,56,22,22,10,1.42,1.34,1.11,6.4,36,22,87,18.4,0,0,1,0.1,8,48,20,32,10,1.35,1.38,0.54,6.7,37,21,92,21,0,1,0.1,3.277423620224,1.8922483921051,0,1,1,1,1,1,1,1,12.2870006561279,58.7079963684082
"3252","Amanita brunnescens G.F. Atk.",40.67455,-80.5413,"brown",98,121,33,8792,284,-82,366,187,-20,207,-20,950,104,56,18,297,188,283,188,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,89.5985488891602,8.81315135955811,0,2,2,1,1,1,1,1,1.47002744674683,0
"3257","Amanita brunnescens G.F. Atk.",41.23335,-75.81305,"brown",79,112,30,8857,263,-99,362,169,-28,189,-39,1074,108,65,16,320,209,314,210,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,89.7522354125977,8.8282642364502,0,2,1,1,2,1,1,1,1.38940024375916,0
"3260","Amanita brunnescens G.F. Atk.",38.5296,-78.15065,"brown",124,133,36,8258,304,-59,363,208,13,227,13,1062,103,69,13,300,214,300,214,2,4,1,10,49,27,24,10,1.4,1.4,1,4.6,16,7,44,3.5,0,0,1,0.1,10,40,24,36,5,1.32,1.4,0.42,4.8,14,6,32,2.3,0,2,0.1,58.6909523010254,26.4375152587891,0,3,2,1,1,1,1,1,1.1201000213623,0
"3282","Amanita brunnescens G.F. Atk.",37.83005,-90.2301,"brown",125,131,33,9035,316,-71,387,125,3,238,3,1088,115,59,18,323,213,285,213,2,4,1,4,47,32,21,9,1.41,1.42,0.82,6.2,35,11,88,8.3,0,0,1,0.1,5,40,29,31,5,1.34,1.5,0.39,6.2,33,12,87,9.6,0,1,0.1,57.6301231384277,5.84680080413818,0,1,1,1,1,1,1,1,0.306100010871887,0
"3369","Amanita brunnescens G.F. Atk.",41.28875,-76.3021,"brown",82,115,31,8838,269,-96,365,172,-36,192,-36,982,107,57,20,307,181,296,181,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,90.5804672241211,8.90973281860352,0,2,2,1,1,1,1,1,0.460312455892563,0
"3466","Amanita brunnescens G.F. Atk.",40.5791,-79.6096,"brown",94,126,33,8783,282,-90,372,183,-24,203,-24,1032,108,62,17,315,202,310,202,2,4,1,10,49,27,24,10,1.4,1.4,1,4.6,16,7,44,3.5,0,0,1,0.1,10,40,24,36,5,1.32,1.4,0.42,4.8,14,6,32,2.3,0,2,0.1,79.4753112792969,7.79223108291626,0,3,2,1,1,1,1,1,2.94409990310669,0
"3495","Amanita brunnescens G.F. Atk.",39.062,-76.7811,"brown",128,117,33,8493,307,-46,353,235,16,235,16,1080,107,72,12,303,235,303,235,2,4,1,10,49,27,24,10,1.4,1.4,1,4.6,16,7,44,3.5,0,0,1,0.1,10,40,24,36,5,1.32,1.4,0.42,4.8,14,6,32,2.3,0,2,0.1,62.0612182617188,18.7685813903809,0,3,2,1,1,1,1,1,9.13179969787598,0
"3534","Amanita brunnescens G.F. Atk.",38.53385,-90.6749,"brown",124,129,32,9276,316,-78,394,217,-3,238,-3,993,109,51,19,296,181,270,181,2,2,1,3,36,39,25,9,1.37,1.41,1.29,5.7,51,17,84,15.3,0,0,2,0.1,4,31,35,34,5,1.31,1.39,0.51,6.9,62,25,94,22.6,4.4,2,0.1,86.6873245239258,8.48446273803711,0,1,1,1,1,1,1,1,1.98500001430511,0
"4108","Amanita brunnescens G.F. Atk.",30.6212,-95.5277,"brown",194,125,39,6815,348,30,318,232,117,277,101,1156,134,73,18,336,251,262,269,2,4,1,10,49,27,24,10,1.4,1.4,1,4.6,16,7,44,3.5,0,0,1,0.1,10,40,24,36,5,1.32,1.4,0.42,4.8,14,6,32,2.3,0,2,0.1,90.6152420043945,8.91315841674805,0,3,2,1,1,1,1,1,0.461375027894974,0
"4549","Amanita brunnescens G.F. Atk.",21.15165,-99.54175,"brown",188,157,65,2514,304,66,238,205,152,214,152,702,148,11,78,349,43,210,43,2,3,6,28,50,26,24,10,1.39,1.09,14,7.7,NA,44,100,44,3.9,0.1,4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4371604919434,23.8009834289551,0,1,1,2,1,1,1,2,2.32369995117188,0
"4582","Amanita brunnescens G.F. Atk.",40.18215,-79.10485,"brown",77,117,32,8593,256,-101,357,163,-39,183,-39,1150,115,78,13,337,246,328,246,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,83.5465469360352,7.79914283752441,0,2,2,1,1,1,1,1,0.332699984312057,0
"4701","Amanita brunnescens G.F. Atk.",39.50485,-80.14855,"brown",108,130,36,8415,290,-71,361,194,-5,213,-5,1090,114,69,16,326,226,323,226,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,88.8027267456055,8.73487281799316,0,2,2,1,1,1,1,1,2.36950421333313,0
"5016","Amanita brunnescens G.F. Atk.",42.6812,-80.32955,"brown",82,94,26,9184,265,-88,353,155,-31,197,-39,959,91,62,11,254,209,245,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3794801235199,1.76195812225342,0,7,7,7,7,7,7,7,2.08200001716614,75.9804000854492
"5101","Amanita brunnescens G.F. Atk.",42.78625,-80.198,"brown",82,93,26,9173,263,-87,350,155,-31,196,-39,950,91,63,11,249,212,240,222,3,4,1,4,56,22,22,10,1.42,1.34,1.11,6.4,36,22,87,18.4,0,0,1,0.1,8,48,20,32,10,1.35,1.38,0.54,6.7,37,21,92,21,0,1,0.1,8.81078243255615,4.68933868408203,0,1,1,1,1,1,1,1,1.28979992866516,37.9752998352051
"5192","Amanita brunnescens G.F. Atk.",42.78625,-80.198,"brown",82,93,26,9173,263,-87,350,155,-31,196,-39,950,91,63,11,249,212,240,222,3,4,1,4,56,22,22,10,1.42,1.34,1.11,6.4,36,22,87,18.4,0,0,1,0.1,8,48,20,32,10,1.35,1.38,0.54,6.7,37,21,92,21,0,1,0.1,8.81078243255615,4.68933868408203,0,1,1,1,1,1,1,1,1.28979992866516,37.9752998352051
"5283","Amanita brunnescens G.F. Atk.",41.3588,-80.103,"brown",85,121,32,8871,275,-96,371,195,-34,195,-34,1081,115,62,17,326,210,326,210,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,86.6098022460938,8.40364551544189,0,2,1,1,1,1,1,1,1.64909994602203,0
"5304","Amanita brunnescens G.F. Atk.",41.25305,-76.04695,"brown",84,114,31,8853,270,-94,364,174,-23,194,-34,1014,106,60,18,310,192,302,192,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,88.4782485961914,8.70295143127441,0,2,1,1,1,1,1,1,2.64796590805054,0
"5305","Amanita brunnescens G.F. Atk.",41.25305,-76.04695,"brown",84,114,31,8853,270,-94,364,174,-23,194,-34,1014,106,60,18,310,192,302,192,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,88.4782485961914,8.70295143127441,0,2,1,1,1,1,1,1,2.64796590805054,0
"5333","Amanita brunnescens G.F. Atk.",40.70685,-80.6459,"brown",97,121,32,8805,283,-84,367,186,-22,206,-22,959,106,56,19,302,187,288,187,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,89.2932739257812,8.78312587738037,0,2,2,1,1,1,1,1,1.79222774505615,0
"5371","Amanita brunnescens G.F. Atk.",42.6812,-80.32955,"brown",82,94,26,9184,265,-88,353,155,-31,197,-39,959,91,62,11,254,209,245,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3794801235199,1.76195812225342,0,7,7,7,7,7,7,7,2.08200001716614,75.9804000854492
"5373","Amanita brunnescens G.F. Atk.",42.6812,-80.32955,"brown",82,94,26,9184,265,-88,353,155,-31,197,-39,959,91,62,11,254,209,245,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3794801235199,1.76195812225342,0,7,7,7,7,7,7,7,2.08200001716614,75.9804000854492
"6218","Amanita brunnescens G.F. Atk.",40.18215,-79.10485,"brown",77,117,32,8593,256,-101,357,163,-39,183,-39,1150,115,78,13,337,246,328,246,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,83.5465469360352,7.79914283752441,0,2,2,1,1,1,1,1,0.332699984312057,0
"6230","Amanita brunnescens G.F. Atk.",42.7616,-80.394,"brown",78,97,27,9246,264,-93,357,151,-35,194,-44,967,91,62,11,256,211,248,221,1,4,1,4,88,7,5,13,1.7,1.44,0.4,6.5,31,3,86,2.1,0.1,0,2,0.1,4,83,7,10,12,1.59,1.5,0.26,6.6,40,4,100,4.7,3.1,6,0.1,14.0553369522095,8.20000839233398,0,1,1,1,1,1,1,1,1.21300005912781,0
"6652","Amanita brunnescens G.F. Atk.",40.56285,-76.08,"brown",94,115,31,8825,279,-85,364,184,-11,205,-24,1189,119,76,12,345,250,328,256,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,89.0149459838867,8.73266124725342,0,2,1,1,1,1,1,1,1.51160001754761,0
"6779","Amanita brunnescens G.F. Atk.",41.1911,-75.6095,"brown",72,113,31,8839,256,-108,364,162,-34,182,-46,1154,115,73,14,335,234,324,236,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,90.3413848876953,8.88621520996094,0,1,1,1,2,1,1,1,0.759730637073517,0
"6781","Amanita brunnescens G.F. Atk.",41.1911,-75.6095,"brown",72,113,31,8839,256,-108,364,162,-34,182,-46,1154,115,73,14,335,234,324,236,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,90.3413848876953,8.88621520996094,0,1,1,1,2,1,1,1,0.759730637073517,0
"6846","Amanita brunnescens G.F. Atk.",41.2779,-76.05985,"brown",84,114,31,8853,270,-94,364,174,-23,194,-34,1014,106,60,18,310,192,302,192,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,88.4782485961914,8.70295143127441,0,2,1,1,1,1,1,1,2.64796590805054,0
"6935","Amanita brunnescens G.F. Atk.",41.50585,-80.45585,"brown",84,117,31,8959,272,-97,369,195,-25,195,-37,1054,108,58,17,312,199,312,201,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,86.1058654785156,8.36390686035156,0,2,1,1,2,1,1,1,1.37220001220703,0
"6968","Amanita brunnescens G.F. Atk.",42.78625,-80.198,"brown",82,93,26,9173,263,-87,350,155,-31,196,-39,950,91,63,11,249,212,240,222,3,4,1,4,56,22,22,10,1.42,1.34,1.11,6.4,36,22,87,18.4,0,0,1,0.1,8,48,20,32,10,1.35,1.38,0.54,6.7,37,21,92,21,0,1,0.1,8.81078243255615,4.68933868408203,0,1,1,1,1,1,1,1,1.28979992866516,37.9752998352051
"6977","Amanita brunnescens G.F. Atk.",43.34865,-70.51365,"brown",84,117,30,9150,277,-106,383,41,192,200,-38,1144,131,79,15,343,243,245,290,2,4,1,24,49,38,13,9,1.49,0.96,3.62,5,65,16,10,4.4,0,0,0,0.1,18,56,32,12,11,1.51,1.29,0.96,5.4,59,12,13,0.8,0,0,0.1,77.7112350463867,8.42138671875,0,2,2,1,2,1,1,1,8.31403732299805,5
"7047","Amanita brunnescens G.F. Atk.",34.6791,-82.82025,"brown",156,130,39,7285,319,-7,326,76,161,248,61,1374,151,98,13,402,297,338,371,2,4,1,10,49,27,24,10,1.4,1.4,1,4.6,16,7,44,3.5,0,0,1,0.1,10,40,24,36,5,1.32,1.4,0.42,4.8,14,6,32,2.3,0,2,0.1,71.2402572631836,7.9200267791748,0,3,2,1,1,1,1,1,5.58150005340576,0
"7064","Amanita brunnescens G.F. Atk.",41.25305,-76.04695,"brown",84,114,31,8853,270,-94,364,174,-23,194,-34,1014,106,60,18,310,192,302,192,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,88.4782485961914,8.70295143127441,0,2,1,1,1,1,1,1,2.64796590805054,0
"7085","Amanita brunnescens G.F. Atk.",42.78625,-80.198,"brown",82,93,26,9173,263,-87,350,155,-31,196,-39,950,91,63,11,249,212,240,222,3,4,1,4,56,22,22,10,1.42,1.34,1.11,6.4,36,22,87,18.4,0,0,1,0.1,8,48,20,32,10,1.35,1.38,0.54,6.7,37,21,92,21,0,1,0.1,8.81078243255615,4.68933868408203,0,1,1,1,1,1,1,1,1.28979992866516,37.9752998352051
"7100","Amanita brunnescens G.F. Atk.",42.78625,-80.198,"brown",82,93,26,9173,263,-87,350,155,-31,196,-39,950,91,63,11,249,212,240,222,3,4,1,4,56,22,22,10,1.42,1.34,1.11,6.4,36,22,87,18.4,0,0,1,0.1,8,48,20,32,10,1.35,1.38,0.54,6.7,37,21,92,21,0,1,0.1,8.81078243255615,4.68933868408203,0,1,1,1,1,1,1,1,1.28979992866516,37.9752998352051
"8084","Amanita brunnescens G.F. Atk.",35.79895,-85.6285,"brown",141,131,38,7773,311,-33,344,139,198,238,37,1404,149,84,14,396,285,329,373,2,4,1,23,53,22,25,10,1.4,1.4,0.98,5.1,14,6,49,2.7,0,0,2,0.1,19,41,20,39,5,1.31,1.4,0.39,5,12,6,33,1.3,0,2,0.1,26.3477687835693,3.34483528137207,0,3,2,1,1,1,1,1,1.36940002441406,0
"8351","Amanita brunnescens G.F. Atk.",42.78625,-80.198,"brown",82,93,26,9173,263,-87,350,155,-31,196,-39,950,91,63,11,249,212,240,222,3,4,1,4,56,22,22,10,1.42,1.34,1.11,6.4,36,22,87,18.4,0,0,1,0.1,8,48,20,32,10,1.35,1.38,0.54,6.7,37,21,92,21,0,1,0.1,8.81078243255615,4.68933868408203,0,1,1,1,1,1,1,1,1.28979992866516,37.9752998352051
"8352","Amanita brunnescens G.F. Atk.",42.78625,-80.198,"brown",82,93,26,9173,263,-87,350,155,-31,196,-39,950,91,63,11,249,212,240,222,3,4,1,4,56,22,22,10,1.42,1.34,1.11,6.4,36,22,87,18.4,0,0,1,0.1,8,48,20,32,10,1.35,1.38,0.54,6.7,37,21,92,21,0,1,0.1,8.81078243255615,4.68933868408203,0,1,1,1,1,1,1,1,1.28979992866516,37.9752998352051
"8543","Amanita brunnescens G.F. Atk.",40.67455,-80.5413,"brown",98,121,33,8792,284,-82,366,187,-20,207,-20,950,104,56,18,297,188,283,188,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,89.5985488891602,8.81315135955811,0,2,2,1,1,1,1,1,1.47002744674683,0
"8567","Amanita brunnescens G.F. Atk.",42.6812,-80.32955,"brown",82,94,26,9184,265,-88,353,155,-31,197,-39,959,91,62,11,254,209,245,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3794801235199,1.76195812225342,0,7,7,7,7,7,7,7,2.08200001716614,75.9804000854492
"8580","Amanita brunnescens G.F. Atk.",40.67455,-80.5413,"brown",98,121,33,8792,284,-82,366,187,-20,207,-20,950,104,56,18,297,188,283,188,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,89.5985488891602,8.81315135955811,0,2,2,1,1,1,1,1,1.47002744674683,0
"8638","Amanita brunnescens G.F. Atk.",42.78625,-80.198,"brown",82,93,26,9173,263,-87,350,155,-31,196,-39,950,91,63,11,249,212,240,222,3,4,1,4,56,22,22,10,1.42,1.34,1.11,6.4,36,22,87,18.4,0,0,1,0.1,8,48,20,32,10,1.35,1.38,0.54,6.7,37,21,92,21,0,1,0.1,8.81078243255615,4.68933868408203,0,1,1,1,1,1,1,1,1.28979992866516,37.9752998352051
"8652","Amanita brunnescens G.F. Atk.",40.67455,-80.5413,"brown",98,121,33,8792,284,-82,366,187,-20,207,-20,950,104,56,18,297,188,283,188,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,89.5985488891602,8.81315135955811,0,2,2,1,1,1,1,1,1.47002744674683,0
"8654","Amanita brunnescens G.F. Atk.",40.67455,-80.5413,"brown",98,121,33,8792,284,-82,366,187,-20,207,-20,950,104,56,18,297,188,283,188,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,89.5985488891602,8.81315135955811,0,2,2,1,1,1,1,1,1.47002744674683,0
"8740","Amanita brunnescens G.F. Atk.",41.5277,-70.6521,"brown",101,89,27,8105,262,-56,318,24,177,204,-3,1173,117,76,12,331,252,257,311,1,6,3,4,85,11,4,12,1.73,1.36,2.09,4.5,98,10,16,2.5,0,0,1,0.1,5,84,11,5,12,1.7,1.51,0.59,4.8,63,4,23,1.6,0,2,0.1,30.162145614624,3.17257738113403,0,3,3,1,1,1,1,1,15.7502002716064,50
"8889","Amanita brunnescens G.F. Atk.",41.23335,-75.81305,"brown",79,112,30,8857,263,-99,362,169,-28,189,-39,1074,108,65,16,320,209,314,210,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,89.7522354125977,8.8282642364502,0,2,1,1,2,1,1,1,1.38940024375916,0
"9192","Amanita brunnescens G.F. Atk.",33.94465,-84.20215,"brown",154,126,39,7243,311,-10,321,73,160,245,58,1359,151,88,16,411,281,320,378,2,4,1,10,49,27,24,10,1.4,1.4,1,4.6,16,7,44,3.5,0,0,1,0.1,10,40,24,36,5,1.32,1.4,0.42,4.8,14,6,32,2.3,0,2,0.1,68.0330657958984,7.67022848129272,0,3,2,1,1,1,1,1,22.8003005981445,0
"9668","Amanita brunnescens G.F. Atk.",35.79895,-85.6285,"brown",141,131,38,7773,311,-33,344,139,198,238,37,1404,149,84,14,396,285,329,373,2,4,1,23,53,22,25,10,1.4,1.4,0.98,5.1,14,6,49,2.7,0,0,2,0.1,19,41,20,39,5,1.31,1.4,0.39,5,12,6,33,1.3,0,2,0.1,26.3477687835693,3.34483528137207,0,3,2,1,1,1,1,1,1.36940002441406,0
"9748","Amanita brunnescens G.F. Atk.",36.08515,-86.53465,"brown",145,128,36,8202,319,-32,351,143,205,248,36,1232,128,69,14,350,248,291,331,2,4,1,9,47,29,24,9,1.39,1.54,0.86,6.4,38,12,89,10,0,0,1,0.1,8,39,27,34,5,1.33,1.52,0.38,6.3,40,15,93,12.3,0,1,0.1,41.6185836791992,26.7673149108887,0,1,1,1,1,1,1,1,2.43229985237122,10.7496995925903
"9776","Amanita brunnescens G.F. Atk.",40.18215,-79.10485,"brown",77,117,32,8593,256,-101,357,163,-39,183,-39,1150,115,78,13,337,246,328,246,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,83.5465469360352,7.79914283752441,0,2,2,1,1,1,1,1,0.332699984312057,0
"9894","Amanita brunnescens G.F. Atk.",42.78625,-80.198,"brown",82,93,26,9173,263,-87,350,155,-31,196,-39,950,91,63,11,249,212,240,222,3,4,1,4,56,22,22,10,1.42,1.34,1.11,6.4,36,22,87,18.4,0,0,1,0.1,8,48,20,32,10,1.35,1.38,0.54,6.7,37,21,92,21,0,1,0.1,8.81078243255615,4.68933868408203,0,1,1,1,1,1,1,1,1.28979992866516,37.9752998352051
"9929","Amanita brunnescens G.F. Atk.",47.4327,-94.11195,"brown",35,126,26,12137,261,-221,482,183,-132,183,-132,672,106,14,55,297,58,297,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.95271968841553,5.43811464309692,0,7,7,7,7,7,7,7,0.00800000037997961,84.9919967651367
"10022","Amanita brunnescens G.F. Atk.",41.24015,-75.9485,"brown",94,118,31,8946,285,-85,370,186,-13,207,-24,990,102,59,18,301,189,296,190,2,4,1,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,1,0.1,63.5389938354492,6.29523849487305,0,2,1,1,2,1,1,1,20.12619972229,0
"10054","Amanita brunnescens G.F. Atk.",42.78625,-80.198,"brown",82,93,26,9173,263,-87,350,155,-31,196,-39,950,91,63,11,249,212,240,222,3,4,1,4,56,22,22,10,1.42,1.34,1.11,6.4,36,22,87,18.4,0,0,1,0.1,8,48,20,32,10,1.35,1.38,0.54,6.7,37,21,92,21,0,1,0.1,8.81078243255615,4.68933868408203,0,1,1,1,1,1,1,1,1.28979992866516,37.9752998352051
